City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port alfred,-33.5906,26.891,16.77,89,25,0.45,ZA,1677359699
1,khash,28.2211,61.2158,14.75,33,100,0.22,IR,1677359702
2,tuktoyaktuk,69.4541,-133.0374,-10.71,94,100,5.65,CA,1677359704
3,honningsvag,70.9821,25.9704,-2.14,74,100,6.69,NO,1677359705
4,el alto,-4.2714,-81.2147,25.81,78,100,4.47,PE,1677359707
5,mar del plata,-38.0023,-57.5575,29.01,48,0,4.63,AR,1677359708
6,asfi,32.2994,-9.2372,14.45,71,99,4.98,MA,1677359710
7,acapulco,16.8634,-99.8901,30.9,55,0,6.17,MX,1677359689
8,hermanus,-34.4187,19.2345,18.22,67,1,4.84,ZA,1677359715
9,albany,42.6001,-73.9662,-4.16,82,100,1.75,US,1677359504
10,makurdi,7.7411,8.5121,31.72,28,47,0.36,NG,1677359718
11,mahebourg,-20.4081,57.7,25.16,83,40,1.54,MU,1677359720
12,faanui,-16.4833,-151.75,27.41,72,21,2.94,PF,1677359722
13,lebu,-37.6167,-73.65,15.63,63,1,9.05,CL,1677359723
14,aklavik,68.2191,-135.0107,-16.0,85,20,0.0,CA,1677359724
15,rikitea,-23.1203,-134.9692,26.6,71,58,4.23,PF,1677359726
16,constitucion,-35.3333,-72.4167,18.5,61,0,8.75,CL,1677359728
17,gidole,5.65,37.3667,17.61,49,98,2.08,ET,1677359730
18,hobart,-42.8794,147.3294,16.92,96,75,2.06,AU,1677359589
19,hithadhoo,-0.6,73.0833,27.6,74,91,4.5,MV,1677359733
20,bluff,-46.6,168.3333,14.17,84,56,2.25,NZ,1677359734
21,upernavik,72.7868,-56.1549,-26.69,90,74,2.24,GL,1677359736
22,vila do maio,15.1333,-23.2167,21.44,78,19,6.65,CV,1677359738
23,faya,18.3851,42.4509,14.29,47,0,2.51,SA,1677359739
24,najran,17.4924,44.1277,21.0,44,11,3.62,SA,1677359577
25,labuhan,-6.8844,112.2051,25.17,86,100,3.63,ID,1677359742
26,waldshut-tiengen,47.6232,8.2172,3.8,90,22,2.0,DE,1677359743
27,dunedin,-45.8742,170.5036,14.63,69,0,1.5,NZ,1677359744
28,sao gabriel da cachoeira,-0.1303,-67.0892,25.57,95,100,0.41,BR,1677359746
29,saint-pierre,-21.3393,55.4781,24.95,73,0,2.06,RE,1677359748
30,djibo,14.1022,-1.6306,29.64,11,16,2.0,BF,1677359749
31,horasan,40.0458,42.1728,-13.45,94,56,0.55,TR,1677359751
32,araouane,18.9048,-3.5265,25.11,16,81,3.82,ML,1677359752
33,ribeira grande,38.5167,-28.7,16.54,88,75,6.17,PT,1677359753
34,gombong,-7.6072,109.5142,24.03,91,100,0.76,ID,1677359755
35,ushuaia,-54.8,-68.3,8.81,76,75,14.4,AR,1677359756
36,margate,51.3813,1.3862,5.49,72,30,4.47,GB,1677359757
37,barrow,71.2906,-156.7887,-21.99,71,100,10.8,US,1677359759
38,ponta do sol,32.6667,-17.1,18.73,89,63,5.17,PT,1677359760
39,longyearbyen,78.2186,15.6401,-1.09,74,75,6.69,SJ,1677359761
40,jiuquan,39.7432,98.5174,1.72,41,56,1.94,CN,1677359763
41,phulabani,20.4667,84.2333,18.68,61,4,1.81,IN,1677359765
42,parabel,58.6978,81.4825,-15.07,94,89,4.25,RU,1677359766
43,norman wells,65.282,-126.8329,-7.98,79,40,2.57,CA,1677359768
44,gravdal,68.1214,13.5031,1.76,80,100,5.43,NO,1677359769
45,hay river,60.8156,-115.7999,-9.61,89,87,2.3,CA,1677359705
46,busselton,-33.65,115.3333,16.82,80,0,5.14,AU,1677359771
47,arraial do cabo,-22.9661,-42.0278,27.92,69,20,9.77,BR,1677359773
48,port elizabeth,-33.918,25.5701,18.94,88,75,2.06,ZA,1677359774
49,mataura,-46.1927,168.8643,13.99,78,14,0.52,NZ,1677359776
50,srednekolymsk,67.45,153.6833,-36.47,100,82,1.58,RU,1677359778
51,yellowknife,62.456,-114.3525,-10.71,79,100,3.6,CA,1677359779
52,vestmanna,62.1564,-7.1664,4.51,93,75,1.54,FO,1677359783
53,xai-xai,-25.0519,33.6442,23.76,90,100,6.09,MZ,1677359784
54,new norfolk,-42.7826,147.0587,16.72,78,74,1.22,AU,1677359787
55,richards bay,-28.783,32.0377,23.45,86,100,3.57,ZA,1677359788
56,atuona,-9.8,-139.0333,25.95,76,9,4.68,PF,1677359790
57,buckeye,33.3703,-112.5838,24.82,23,0,5.66,US,1677359611
58,lar,26.2039,83.9717,16.15,30,0,2.29,IN,1677359792
59,hamilton,39.1834,-84.5333,12.3,53,0,2.68,US,1677359758
60,airai,-8.9266,125.4092,15.8,95,100,1.88,TL,1677359795
61,oranjemund,-28.55,16.4333,16.5,83,0,8.24,NA,1677359796
62,lagoa,39.05,-27.9833,15.27,79,49,6.73,PT,1677359798
63,nikolskoye,59.7035,30.7861,-3.06,93,100,4.67,RU,1677359799
64,iqaluit,63.7506,-68.5145,-32.95,67,40,0.89,CA,1677359801
65,komsomolskiy,40.4272,71.7189,2.4,80,75,2.06,UZ,1677359802
66,namibe,-15.1961,12.1522,23.26,78,100,1.62,AO,1677359803
67,halifax,44.6453,-63.5724,-10.18,56,77,3.58,CA,1677359534
68,avarua,-21.2078,-159.775,30.03,66,40,2.57,CK,1677359806
69,east london,-33.0153,27.9116,19.45,72,55,4.61,ZA,1677359808
70,havre,49.5833,0.3333,4.22,75,0,4.63,FR,1677359809
71,husavik,66.0449,-17.3389,4.44,87,86,9.62,IS,1677359811
72,yalutorovsk,56.6536,66.3006,-13.12,95,100,4.01,RU,1677359812
73,khatanga,71.9667,102.5,-42.02,100,41,1.33,RU,1677359813
74,hilo,19.7297,-155.09,24.85,77,75,4.63,US,1677359815
75,bad ems,50.3333,7.7167,1.73,74,6,2.28,DE,1677359816
76,lobau,51.1,14.6667,-0.4,97,100,4.79,DE,1677359817
77,kaitangata,-46.2817,169.8464,13.92,66,2,1.09,NZ,1677359819
78,rio gallegos,-51.6226,-69.2181,8.8,66,82,17.93,AR,1677359604
79,klaksvik,62.2266,-6.589,5.51,77,100,3.83,FO,1677359822
80,shangrao,28.4532,117.9686,3.87,75,49,3.04,CN,1677359823
81,ocos,14.5094,-92.1933,32.1,65,6,5.97,GT,1677359825
82,pampas,-12.4,-74.9,14.29,72,100,2.76,PE,1677359826
83,brae,60.3964,-1.353,3.3,73,35,3.45,GB,1677359828
84,bengkulu,-3.8004,102.2655,23.55,90,99,1.88,ID,1677359829
85,tual,-5.6667,132.75,27.87,82,100,7.02,ID,1677359831
86,port hedland,-20.3167,118.5667,28.03,89,40,3.09,AU,1677359832
87,jamestown,42.097,-79.2353,-1.14,91,100,3.09,US,1677359677
88,provideniya,64.3833,-173.3,-21.61,87,56,1.75,RU,1677359641
89,barsovo,61.1667,73.1667,-14.93,94,100,4.76,RU,1677359837
90,birkeland,58.3309,8.2323,0.75,43,0,4.12,NO,1677359838
91,jalu,29.0331,21.5482,16.93,19,2,5.58,LY,1677359840
92,punta arenas,-53.15,-70.9167,7.47,82,84,10.9,CL,1677359842
93,dwarka,22.2394,68.9678,22.25,72,6,4.92,IN,1677359843
94,vestmannaeyjar,63.4427,-20.2734,7.45,81,100,9.54,IS,1677359845
95,naze,28.3667,129.4833,11.51,58,100,8.33,JP,1677359846
96,puerto ayora,-0.7393,-90.3518,28.98,84,14,4.02,EC,1677359849
97,vaini,-21.2,-175.2,29.09,79,20,6.69,TO,1677359851
98,thinadhoo,0.5333,72.9333,27.43,77,65,3.22,MV,1677359852
99,butaritari,3.0707,172.7902,27.25,77,99,5.33,KI,1677359854
100,esperance,-33.8667,121.9,18.22,79,100,3.36,AU,1677359855
101,baykit,61.67,96.37,-14.5,93,98,3.12,RU,1677359856
102,necochea,-38.5473,-58.7368,20.79,76,22,11.31,AR,1677359826
103,dikson,73.5069,80.5464,-30.99,97,85,3.51,RU,1677359859
104,yenagoa,4.9247,6.2642,25.6,83,67,2.09,NG,1677359860
105,ilulissat,69.2167,-51.1,-12.99,72,75,4.63,GL,1677359862
106,port lincoln,-34.7333,135.8667,16.04,83,16,3.38,AU,1677359863
107,clyde river,70.4692,-68.5914,-24.3,95,100,0.64,CA,1677359672
108,kruisfontein,-34.0033,24.7314,17.71,78,11,3.16,ZA,1677359866
109,belyy yar,53.6039,91.3903,-3.97,93,75,4.0,RU,1677359867
110,encruzilhada do sul,-30.5439,-52.5219,29.1,28,80,6.33,BR,1677359868
111,sosnovo-ozerskoye,52.5249,111.5418,-15.24,99,100,1.72,RU,1677359870
112,qaqortoq,60.7167,-46.0333,-13.3,90,46,2.04,GL,1677359871
113,tiarei,-17.5333,-149.3333,30.01,74,29,3.64,PF,1677359873
114,darnah,32.767,22.6367,16.2,47,72,7.28,LY,1677359874
115,vila franca do campo,37.7167,-25.4333,16.23,92,20,3.73,PT,1677359876
116,shache,38.4167,77.2406,3.17,54,50,2.65,CN,1677359877
117,shingu,33.7333,135.9833,1.21,69,2,3.19,JP,1677359611
118,bethel,41.3712,-73.414,-2.86,67,75,2.57,US,1677359809
119,vao,-22.6667,167.4833,25.27,85,100,5.27,NC,1677359881
120,cayenne,4.9333,-52.3333,25.02,88,75,4.12,GF,1677359882
121,nome,64.5011,-165.4064,-17.72,71,0,5.66,US,1677359884
122,jardim,-21.4803,-56.1381,28.44,75,33,2.94,BR,1677359616
123,kyabram,-36.3167,145.05,16.04,75,5,3.72,AU,1677359887
124,tuburan,6.6439,122.2736,24.05,78,95,3.76,PH,1677359888
125,ostrovnoy,68.0531,39.5131,-3.77,85,100,3.03,RU,1677359889
126,kapaa,22.0752,-159.319,25.18,68,75,9.26,US,1677359892
127,cape town,-33.9258,18.4232,19.51,70,0,7.15,ZA,1677359700
128,kodiak,57.79,-152.4072,0.73,40,0,5.14,US,1677359895
129,plouzane,48.3833,-4.6167,6.18,72,0,5.14,FR,1677359896
130,hambantota,6.1241,81.1185,23.42,80,100,6.85,LK,1677359897
131,saldanha,-33.0117,17.9442,17.68,72,0,11.67,ZA,1677359899
132,nanortalik,60.1432,-45.2371,-7.92,76,97,8.05,GL,1677359900
133,comodoro rivadavia,-45.8667,-67.5,20.92,17,0,11.32,AR,1677359902
134,luangwa,-15.6167,30.4167,24.18,84,100,0.77,ZM,1677359903
135,kavaratti,10.5669,72.642,27.05,71,20,3.42,IN,1677359905
136,bowen,-20.0167,148.2333,23.62,84,99,4.19,AU,1677359906
137,georgetown,5.4112,100.3354,24.97,85,20,2.57,MY,1677359908
138,portland,45.5234,-122.6762,7.01,52,40,1.34,US,1677359909
139,road town,18.4167,-64.6167,27.02,74,40,3.6,VG,1677359910
140,maragogi,-9.0122,-35.2225,26.82,76,97,3.74,BR,1677359873
141,cervo,43.6702,-7.4101,7.76,82,99,2.4,ES,1677359913
142,yorosso,12.3536,-4.7761,30.66,12,70,3.23,ML,1677359914
143,zhangjiakou,40.81,114.8794,-4.32,33,0,0.89,CN,1677359915
144,balti,47.7617,27.9289,5.55,80,53,2.07,MD,1677359917
145,villa de reyes,21.8,-100.9333,25.61,22,49,1.52,MX,1677359918
146,carnarvon,-24.8667,113.6333,25.9,83,97,4.65,AU,1677359919
147,rocha,-34.4833,-54.3333,19.04,97,100,1.78,UY,1677359921
148,yablonovo,50.8523,37.3574,2.21,97,100,8.94,RU,1677359922
149,mayskiy,47.6931,40.1025,6.67,86,100,4.05,RU,1677359924
150,shimoda,34.6667,138.95,4.92,80,94,2.35,JP,1677359925
151,kavieng,-2.5744,150.7967,27.36,79,63,2.25,PG,1677359927
152,los llanos de aridane,28.6585,-17.9182,14.86,81,20,2.68,ES,1677359929
153,dandong,40.1292,124.3947,-2.83,39,0,1.56,CN,1677359931
154,leland,34.2563,-78.0447,16.01,79,100,3.6,US,1677359758
155,tura,25.5198,90.2201,17.28,29,0,1.63,IN,1677359933
156,maniitsoq,65.4167,-52.9,-13.83,86,100,5.63,GL,1677359937
157,sladkovo,55.5284,70.3385,-15.84,94,80,4.94,RU,1677359940
158,arlit,18.7369,7.3853,27.2,10,0,3.37,NE,1677359942
159,codrington,-38.2667,141.9667,15.9,82,100,5.08,AU,1677359943
160,ahuimanu,21.4447,-157.8378,25.84,67,40,4.02,US,1677359945
161,narsaq,60.9167,-46.05,-7.88,89,62,1.42,GL,1677359946
162,horqueta,-23.3428,-57.0597,27.6,87,17,1.42,PY,1677359947
163,saskylakh,71.9167,114.0833,-37.8,100,100,2.93,RU,1677359950
164,saint-philippe,-21.3585,55.7679,24.77,86,21,3.35,RE,1677359951
165,tadine,-21.55,167.8833,26.9,79,98,1.4,NC,1677359953
166,bandarbeyla,9.4942,50.8122,24.64,74,88,4.82,SO,1677359954
167,methoni,36.8197,21.7049,13.45,85,100,6.48,GR,1677359955
168,puerto escondido,15.85,-97.0667,31.46,66,40,5.14,MX,1677359957
169,mahajanga,-15.7167,46.3167,24.01,94,20,2.06,MG,1677359958
170,atasu,48.6814,71.6433,-19.72,99,65,2.86,KZ,1677359960
171,guerrero negro,27.9769,-114.0611,18.69,50,7,4.67,MX,1677359961
172,sorland,67.667,12.6934,1.92,79,100,5.79,NO,1677359963
173,pemba,-12.974,40.5178,26.34,84,100,3.81,MZ,1677359964
174,amahai,-3.3333,128.9167,25.43,84,100,2.93,ID,1677359966
175,dargaville,-35.9333,173.8833,18.77,73,21,1.39,NZ,1677359968
176,christchurch,-43.5333,172.6333,18.84,77,40,2.06,NZ,1677359969
177,nuuk,64.1835,-51.7216,-10.66,85,75,9.26,GL,1677359707
178,severnoye,56.3491,78.3619,-18.96,97,74,3.88,RU,1677359972
179,petropavlovsk-kamchatskiy,53.0452,158.6483,-18.46,78,0,5.0,RU,1677359973
180,qaanaaq,77.484,-69.3632,-23.32,93,100,1.98,GL,1677359974
181,bredasdorp,-34.5322,20.0403,17.89,61,29,4.11,ZA,1677359977
182,north massapequa,40.7009,-73.4621,0.08,71,100,3.13,US,1677359978
183,livingstone,-17.8419,25.8543,21.42,77,100,1.25,ZM,1677359980
184,morant bay,17.8815,-76.4093,32.06,64,20,6.25,JM,1677359982
185,axim,4.8699,-2.2405,27.55,82,100,4.81,GH,1677359983
186,manaure,11.7751,-72.4445,28.87,54,67,9.35,CO,1677359984
187,muscat,23.6139,58.5922,23.01,59,30,0.69,OM,1677359697
188,marquette,46.5333,-87.6335,-0.68,66,100,4.4,US,1677359987
189,cidreira,-30.1811,-50.2056,27.21,64,32,2.79,BR,1677359988
190,floro,61.5996,5.0328,2.76,80,75,3.09,NO,1677359990
191,buraydah,26.326,43.975,21.25,33,67,2.13,SA,1677359991
192,ayan,56.45,138.1667,-24.02,87,21,1.82,RU,1677359993
193,deep river,46.1001,-77.4995,-11.7,87,100,2.61,CA,1677359727
194,belaya gora,68.5333,146.4167,-38.3,100,37,0.79,RU,1677359995
195,sur,22.5667,59.5289,23.37,62,0,3.08,OM,1677359996
196,denpasar,-8.65,115.2167,24.84,94,75,13.38,ID,1677359815
197,pevek,69.7008,170.3133,-37.04,100,92,2.26,RU,1677359999
198,erzin,36.9559,36.2,12.36,54,7,2.03,TR,1677360000
199,hasaki,35.7333,140.8333,1.22,45,68,7.29,JP,1677360003
200,roald,62.5833,6.1333,4.31,87,75,1.54,NO,1677360005
201,butembo,0.15,29.2833,16.97,66,99,1.23,CD,1677360009
202,barceloneta,18.4505,-66.5385,26.85,76,54,5.84,PR,1677360012
203,torbay,47.6666,-52.7314,-12.46,76,75,5.14,CA,1677360014
204,katherine,-14.4667,132.2667,24.18,100,75,2.06,AU,1677360015
205,maarianhamina,60.0973,19.9348,0.46,80,0,3.09,AX,1677360017
206,berbera,10.4396,45.0143,25.13,83,98,1.41,SO,1677360019
207,biltine,14.5333,20.9167,26.61,14,30,4.13,TD,1677360020
208,yulara,-25.2406,130.9889,23.61,61,98,3.58,AU,1677360022
209,haines junction,60.7522,-137.5108,-7.03,68,100,4.12,CA,1677360023
210,onega,63.9061,38.1404,-12.76,98,94,1.95,RU,1677360025
211,juneau,58.3019,-134.4197,-0.44,89,75,0.0,US,1677359970
212,solnechnyy,50.7214,136.6319,-20.26,94,25,2.07,RU,1677360028
213,ancud,-41.8697,-73.8203,14.24,58,22,5.22,CL,1677360030
214,glendive,47.1053,-104.7125,-0.69,67,0,4.47,US,1677360031
215,alofi,-19.0595,-169.9187,28.94,79,16,7.2,NU,1677360033
216,touros,-5.1989,-35.4608,26.93,73,31,4.09,BR,1677360035
217,abu samrah,35.3029,37.1841,11.84,57,31,3.44,SY,1677360037
218,makakilo city,21.3469,-158.0858,25.18,58,0,5.66,US,1677360038
219,chuy,-33.6971,-53.4616,19.91,95,100,3.28,UY,1677360040
220,eppingen,49.1369,8.9103,2.78,73,38,3.51,DE,1677360041
221,ouadda,8.0777,22.4007,24.78,20,99,2.07,CF,1677360043
222,aquiraz,-3.9014,-38.3911,27.47,80,44,3.59,BR,1677360044
223,karratha,-20.7377,116.8463,27.83,75,95,3.28,AU,1677360046
224,batagay-alyta,67.8006,130.4114,-23.4,97,100,1.65,RU,1677360047
225,castro,-24.7911,-50.0119,21.47,88,100,2.83,BR,1677360049
226,yumen,40.2833,97.2,0.71,39,92,1.76,CN,1677360051
227,lavrentiya,65.5833,-171.0,-24.35,86,46,2.29,RU,1677360052
228,padang,-0.9492,100.3543,24.03,85,84,2.3,ID,1677360054
229,eureka,40.8021,-124.1637,12.08,70,0,2.24,US,1677360055
230,port macquarie,-31.4333,152.9167,20.5,83,85,2.89,AU,1677359844
231,oistins,13.0667,-59.5333,26.05,65,40,7.72,BB,1677360059
232,ruston,32.5232,-92.6379,16.99,94,100,1.54,US,1677360062
233,egvekinot,66.3167,-179.1667,-23.6,94,97,0.06,RU,1677360063
234,pimenta bueno,-11.6725,-61.1936,29.13,77,100,1.63,BR,1677360065
235,bone,51.9669,12.1396,0.46,85,47,4.25,DE,1677360067
236,tarko-sale,64.9225,77.785,-21.57,97,76,4.62,RU,1677360070
237,tara,56.8944,74.371,-18.41,97,64,3.28,RU,1677360071
238,geraldton,-28.7667,114.6,27.23,29,0,6.17,AU,1677360073
239,tasiilaq,65.6145,-37.6368,-1.91,93,100,4.7,GL,1677360074
240,linjiang,41.8069,126.9078,-14.9,97,38,0.58,CN,1677360076
241,thompson,55.7435,-97.8558,-14.91,51,75,4.12,CA,1677360077
242,grafton,42.207,-71.6856,-6.31,83,100,3.09,US,1677360079
243,high level,58.5169,-117.136,-10.94,67,75,2.06,CA,1677360080
244,nuevo progreso,23.1667,-97.95,28.83,59,16,3.58,MX,1677360081
245,salinopolis,-0.6136,-47.3561,25.95,86,100,3.12,BR,1677360083
246,urumqi,43.801,87.6005,-0.47,64,75,0.0,CN,1677360085
247,rosetta,31.4044,30.4164,14.46,77,0,2.08,EG,1677360086
248,antofagasta,-23.65,-70.4,22.6,68,17,4.21,CL,1677359885
249,rivers,50.0308,-100.2403,-17.47,84,51,5.59,CA,1677360089
250,broken hill,-31.95,141.4333,17.25,66,88,9.29,AU,1677359959
251,teknaf,20.8624,92.3058,20.2,58,0,2.5,BD,1677360092
252,nishihara,26.1842,127.7558,14.6,51,75,10.29,JP,1677360093
253,praia,14.9215,-23.5087,21.3,68,40,6.17,CV,1677360095
254,loa janan,-0.583,117.095,22.93,99,98,0.76,ID,1677360097
255,samarai,-10.6167,150.6667,26.87,78,100,2.1,PG,1677360098
256,mandalgovi,45.7625,106.2708,-3.81,58,9,4.14,MN,1677360100
257,ahipara,-35.1667,173.1667,19.88,72,49,1.58,NZ,1677360101
258,evansville,37.9748,-87.5558,11.03,61,0,2.57,US,1677359944
259,westport,41.1415,-73.3579,-0.96,75,75,2.57,US,1677360104
260,chapais,49.7834,-74.8492,-14.12,85,100,3.72,CA,1677360106
261,mao,39.8885,4.2658,8.31,87,20,2.57,ES,1677360107
262,bambous virieux,-20.3428,57.7575,25.14,83,40,1.54,MU,1677360109
263,camden,39.7835,-74.9663,2.59,70,100,2.24,US,1677360111
264,poum,-20.2333,164.0167,26.2,81,100,2.28,NC,1677360113
265,kapoeta,4.7717,33.5903,29.4,34,92,3.79,SS,1677360114
266,sao filipe,14.8961,-24.4956,21.56,75,71,3.15,CV,1677360115
267,birao,10.2849,22.7882,26.89,14,86,2.74,CF,1677360116
268,tairua,-37.0167,175.85,20.1,72,5,2.12,NZ,1677360119
269,dzilam gonzalez,21.2833,-88.9333,31.36,42,0,4.22,MX,1677360120
270,ishigaki,24.3448,124.1572,14.07,72,100,8.23,JP,1677360123
271,talnakh,69.4865,88.3972,-27.11,100,99,1.93,RU,1677360125
272,aksarka,66.5606,67.7975,-18.51,98,86,1.15,RU,1677360126
273,oktyabrskiy,54.4815,53.471,-3.63,90,100,8.42,RU,1677360128
274,elizabeth city,36.2946,-76.2511,9.01,95,100,6.69,US,1677360129
275,morondava,-20.2833,44.2833,26.67,79,81,1.35,MG,1677360131
276,severo-kurilsk,50.6789,156.125,-5.59,85,64,2.36,RU,1677360132
277,adrar,20.5022,-10.0711,19.69,26,10,4.66,MR,1677360133
278,dakar,14.6937,-17.4441,19.07,88,0,4.12,SN,1677360135
279,palmer,42.1584,-72.3287,-4.64,75,100,2.57,US,1677360065
280,port hardy,50.6996,-127.4199,0.1,100,100,11.32,CA,1677360010
281,tezu,27.9167,96.1667,16.94,60,71,1.84,IN,1677360138
282,huilong,31.8111,121.655,1.65,66,4,3.45,CN,1677360140
283,muros,42.7762,-9.0603,5.61,94,46,2.58,ES,1677360141
284,marsabit,2.3284,37.9899,22.15,43,60,4.26,KE,1677360143
285,canyon,34.9803,-101.9188,20.26,47,100,7.72,US,1677360144
286,skibbereen,51.55,-9.2667,6.73,69,100,6.72,IE,1677360146
